,ddpg,rip,ospf,random
0,0.30144,0.40047,0.300445,0.300654
1,0.300746,0.300537,0.400752,0.300723
2,0.301986,0.400835,0.300799,0.301461
3,0.301596,0.301624,0.300472,0.500658
4,0.400837,0.301168,0.400681,0.300447
5,0.300294,0.301212,0.40155,0.300334
6,0.403007,0.301257,0.301086,0.300779
7,0.301424,0.302063,0.401562,0.300935
8,0.40058,0.600732,0.300792,0.400519
9,0.400679,0.300892,0.400507,0.201212
10,0.400577,0.400505,0.301471,0.600783
11,0.301264,0.300924,0.301078,0.401109
12,0.30098,0.401344,0.301261,0.301194
13,0.301018,0.301649,0.400779,0.2014
14,0.400503,0.400865,0.502059,0.301491
15,0.400289,0.302822,0.30057,0.400452
16,0.301579,0.801117,0.40026,0.300671
17,0.600948,0.300686,0.20128,0.300785
18,0.300739,0.502402,0.400902,0.301191
19,0.500566,0.400416,0.300702,0.30096
20,0.401064,0.400537,0.400908,0.400678
21,0.301224,0.401207,0.601893,0.501196
22,0.400265,0.400647,0.4024,0.501133
23,0.400892,0.400639,0.400401,0.40056
24,0.400774,0.401652,0.401289,0.300786
25,0.300282,0.400717,0.400676,0.401176
26,0.60064,0.400237,0.301935,0.301108
27,0.40096,0.401094,0.501104,0.300908
28,0.400473,0.301402,0.400501,0.400413
29,0.601528,0.400896,0.501034,0.400982
30,0.500627,0.301475,0.400352,0.400739
31,0.301411,0.301234,0.301374,0.501066
32,0.401239,0.400303,0.400927,0.401966
33,0.700857,0.401873,0.301093,0.401285
34,0.501088,0.400476,0.400654,0.400866
35,0.401861,0.40113,0.4006,0.401059
36,0.300616,0.301552,0.301618,0.40069
37,0.400561,0.301296,0.400998,0.300956
38,0.600574,0.500374,0.501151,0.401035
39,0.400832,0.30141,0.301429,0.301743
40,0.400476,0.301432,0.401669,0.401636
41,0.601229,0.401438,0.502428,0.401175
42,0.500687,0.400841,0.500841,0.401274
43,0.304445,0.500852,0.400422,0.400698
44,0.501922,0.501626,0.500892,0.300998
45,0.401001,0.301205,0.600797,0.500726
46,0.500559,0.401394,0.400693,0.501586
47,0.600529,0.400606,0.400426,0.400501
48,0.401239,0.400801,0.401329,0.501152
49,0.601232,0.301164,0.400783,0.301474
